ID,Title,Gender,Province,WorkType,SalaryShown,MinSalary,MaxSalary,MainCategory,Industry,ExperienceYears,RelatedExperience,IsRemote,IsInternship,DisabilitySupport,CompanyProvince,CompanyCity,OwnershipType,CompanySize,ActivityType,CompanyIndustry,AvgSalary
1528,برنامه نویس Django-react) Full-Stack),تفاوتی ندارد,Tehran,Full Time,True,6.0,8.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,3,False,False,False,,Tehran,Tehran,Privately held,1001 - 5000 employees,Iranian company dealing only with Iranian entities,IT / Software / Hardware,7.0
1585,برنامه نویس iOS,تفاوتی ندارد,Tehran,Full Time,True,6.0,8.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,2,False,False,False,,Tehran,Tehran,Privately held,501 - 1000 employees,Iranian company dealing only with Iranian entities,"IT / Software / Hardware,Telecom,Banking",7.0
1600,کارشناس React Native,تفاوتی ندارد,Tehran,Full Time,True,15.0,20.0,توسعه نرم افزار و برنامه نویسی,Internet Provider / E-commerce / Online Services,4,False,False,False,,Tehran,Tehran,Privately held,11 - 50 employees,Iranian company dealing with Iranian and foreign customers,Internet Provider / E-commerce / Online Services,17.5
1753,برنامه نویس Front-End,تفاوتی ندارد,Tehran,Full Time,True,12.0,15.0,توسعه نرم افزار و برنامه نویسی,Healthcare / Medical Services,2,False,False,False,,Tehran,Tehran,Privately held,201 - 500 employees,Iranian company dealing with Iranian and foreign customers,Healthcare / Medical Services,13.5
1834,برنامه نویس وب - آقا,تفاوتی ندارد,Tehran,Project - based,True,15.0,20.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,6,True,True,False,,Tehran,Tehran,Privately held,11 - 50 employees,Iranian company dealing only with Iranian entities,"IT / Software / Hardware,Airline / Aviation,Engineering Services / Technical Services & Solutions",17.5
1870,برنامه نویس ارشد Back-End - Java,تفاوتی ندارد,Tehran,Full Time,True,12.0,15.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,3,False,False,False,,Tehran,Tehran,Privately held,201 - 500 employees,Iranian company dealing with Iranian and foreign customers,IT / Software / Hardware,13.5
1907,توسعه دهنده  ارشد Front-End,ترجیحاً خانم,Tehran,Full Time,True,20.0,25.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,3,False,True,False,True,Tehran,Tehran,Privately held,51 - 200 employees,Iranian company dealing only with Iranian entities,IT / Software / Hardware,22.5
1926,طراح وب سایت,تفاوتی ندارد,Tehran,Full Time,True,6.0,8.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,0,False,False,True,,Tehran,Tehran,Privately held,11 - 50 employees,Iranian company dealing with Iranian and foreign customers,IT / Software / Hardware,7.0
1946,برنامه نویس Front-End,تفاوتی ندارد,Khorasan Razavi,Full Time,True,12.0,15.0,توسعه نرم افزار و برنامه نویسی,Internet Provider / E-commerce / Online Services,2,False,False,False,,Khorasan Razavi,Mashhad,,11 - 50 employees,,"Internet Provider / E-commerce / Online Services,Travel / Hotel / Tourism",13.5
1947,Back-End - PHP Developer,تفاوتی ندارد,Khorasan Razavi,Full Time,True,12.0,15.0,توسعه نرم افزار و برنامه نویسی,Internet Provider / E-commerce / Online Services,2,False,False,False,,Khorasan Razavi,Mashhad,,11 - 50 employees,,"Internet Provider / E-commerce / Online Services,Travel / Hotel / Tourism",13.5
1954,Embedded Linux Application Developer,تفاوتی ندارد,Tehran,Full Time,True,20.0,25.0,توسعه نرم افزار و برنامه نویسی,Automotive,1,False,False,False,,Tehran,Tehran,Privately held,More than 5001 employees,Iranian company dealing only with Iranian entities,Automotive,22.5
1962,برنامه نویس  ASP.NET Core,تفاوتی ندارد,Tehran,Full Time,True,20.0,25.0,توسعه نرم افزار و برنامه نویسی,Banking,1,False,False,False,,Tehran,Tehran,Governmental,More than 5001 employees,Iranian company dealing with Iranian and foreign customers,Banking,22.5
1964,برنامه نویس react native,تفاوتی ندارد,Isfahan,Full Time,True,8.0,10.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,1,False,False,False,,Isfahan,Isfahan,Privately held,51 - 200 employees,Iranian company dealing only with Iranian entities,"IT / Software / Hardware,Manufacturing & Production,Transportation / Logistics",9.0
1999,کارشناس برنامه نویسی NET.,تفاوتی ندارد,Tehran,Full Time,True,20.0,25.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,1,False,False,False,,Tehran,Tehran,Privately held,51 - 200 employees,Iranian company dealing with Iranian and foreign customers,IT / Software / Hardware,22.5
2101,برنامه نویس  ASP.NET Core,تفاوتی ندارد,Tehran,Full Time,True,12.0,15.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,1,False,False,False,,Tehran,Tehran,,11 - 50 employees,,IT / Software / Hardware,13.5
2363,برنامه نویس کارتخوان,تفاوتی ندارد,Tehran,Full Time,True,6.0,8.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,1,False,False,False,,Tehran,Tehran,Privately held,51 - 200 employees,Iranian company dealing only with Iranian entities,IT / Software / Hardware,7.0
2364,برنامه نویس سیستم های اطلاعاتی,تفاوتی ندارد,Tehran,Full Time,True,6.0,8.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,1,False,False,False,,Tehran,Tehran,Privately held,51 - 200 employees,Iranian company dealing only with Iranian entities,IT / Software / Hardware,7.0
2412,برنامه نویس PHP (Laravel),تفاوتی ندارد,Tehran,Project - based,True,12.0,15.0,توسعه نرم افزار و برنامه نویسی,Oil & Gas / Petrochemical,4,False,True,False,,Tehran,Tehran,,51 - 200 employees,,Oil & Gas / Petrochemical,13.5
2450,Back-End Developer (Node.js),تفاوتی ندارد,Alborz,Full Time,True,10.0,12.0,توسعه نرم افزار و برنامه نویسی,Internet Provider / E-commerce / Online Services,2,False,True,False,True,Alborz,Karaj,Privately held,Less than 10 employees,Iranian company dealing only with Iranian entities,Internet Provider / E-commerce / Online Services,11.0
2491,طراح سایت (Wordpress),تفاوتی ندارد,Tehran,Full Time Or Part Time,True,8.0,10.0,توسعه نرم افزار و برنامه نویسی,Marketing / Advertising,1,False,True,False,,Tehran,Tehran,,Less than 10 employees,,"Construction / Building Materials & Equipment,Marketing / Advertising,Architecture",9.0
2492,برنامه نویس Back-End,ترجیحاً آقا,Tehran,Project - based,True,6.0,8.0,توسعه نرم افزار و برنامه نویسی,Technology and Innovation / VC / Accelerator,1,False,True,False,,Tehran,Tehran,Privately held,Less than 10 employees,Iranian company dealing with Iranian and foreign customers,"Internet Provider / E-commerce / Online Services,Business Services / Consulting,Technology and Innovation / VC / Accelerator",7.0
2517,برنامه نویس PHP-Laravel,تفاوتی ندارد,Tehran,Full Time,True,10.0,12.0,توسعه نرم افزار و برنامه نویسی,Internet Provider / E-commerce / Online Services,2,False,False,False,,Tehran,Tehran,Privately held,11 - 50 employees,Iranian company dealing with Iranian and foreign customers,Internet Provider / E-commerce / Online Services,11.0
2581,توسعه دهنده جاوا,تفاوتی ندارد,Tehran,Full Time,True,10.0,12.0,توسعه نرم افزار و برنامه نویسی,Consumer Electonics / Home Appliances,2,False,False,False,,Tehran,Tehran,Privately held,201 - 500 employees,Iranian company dealing only with Iranian entities,"Consumer Goods / FMCG,Consumer Electonics / Home Appliances",11.0
2608,کارآموز برنامه نویسی فرانت اند,تفاوتی ندارد,Tehran,Full Time,True,5.0,6.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,0,False,False,True,,Tehran,Tehran,Privately held,11 - 50 employees,Iranian company dealing only with Iranian entities,IT / Software / Hardware,5.5
2632,مدیر فنی (CTO),تفاوتی ندارد,Fars,Full Time,True,15.0,20.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,2,True,True,False,,Tehran,Tehran,Privately held,11 - 50 employees,Iranian company dealing only with Iranian entities,IT / Software / Hardware,17.5
2636,Back-End Developer (Node.js),تفاوتی ندارد,Tehran,Full Time,True,8.0,10.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,1,False,False,False,,Tehran,Tehran,,Less than 10 employees,,"IT / Software / Hardware,Technology and Innovation / VC / Accelerator",9.0
2645,برنامه نویس  ASP.NET Core,تفاوتی ندارد,Khorasan Razavi,Full Time,True,8.0,10.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,3,True,False,False,,Khorasan Razavi,Mashhad,Privately held,51 - 200 employees,Iranian company dealing only with Iranian entities,IT / Software / Hardware,9.0
2691,برنامه نویس  Full-Stack - آقا,فقط آقا,Abroad,Project - based,True,12.0,15.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,3,False,True,False,,Tehran,Tehran,,11 - 50 employees,,IT / Software / Hardware,13.5
2710,برنامه نویس PHP (PHP -Symfony),ترجیحاً خانم,Khorasan Razavi,Full Time,True,6.0,8.0,توسعه نرم افزار و برنامه نویسی,Internet Provider / E-commerce / Online Services,1,False,False,False,True,Khorasan Razavi,Mashhad,Privately held,51 - 200 employees,Iranian company dealing only with Iranian entities,"Internet Provider / E-commerce / Online Services,Marketing / Advertising,Technology and Innovation / VC / Accelerator",7.0
2726,برنامه نویس PHP,تفاوتی ندارد,Isfahan,Project - based,True,8.0,10.0,توسعه نرم افزار و برنامه نویسی,Broadcast / Media / Publishing,2,False,True,False,,Isfahan,Isfahan,,11 - 50 employees,,Broadcast / Media / Publishing,9.0
2727,برنامه نویس PHP,تفاوتی ندارد,Isfahan,Full Time,True,8.0,10.0,توسعه نرم افزار و برنامه نویسی,Broadcast / Media / Publishing,3,True,False,False,,Isfahan,Isfahan,,11 - 50 employees,,Broadcast / Media / Publishing,9.0
2768,برنامه نویس  ASP.NET Core,تفاوتی ندارد,Khorasan Razavi,Full Time,True,8.0,10.0,توسعه نرم افزار و برنامه نویسی,Internet Provider / E-commerce / Online Services,1,False,False,False,True,Khorasan Razavi,Mashhad,,11 - 50 employees,,Internet Provider / E-commerce / Online Services,9.0
2838,برنامه نویس  ASP.NET Core,تفاوتی ندارد,Tehran,Full Time,True,15.0,20.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,3,False,True,False,,Tehran,Tehran,Privately held,11 - 50 employees,Iranian company dealing only with Iranian entities,IT / Software / Hardware,17.5
2839,برنامه نویس پایتون (Django),تفاوتی ندارد,Ghom,Full Time Or Part Time,True,8.0,10.0,توسعه نرم افزار و برنامه نویسی,Finance / Investment,0,False,False,False,,Ghom,Qom,,11 - 50 employees,,Finance / Investment,9.0
2872,کارشناس برنامه نویسی وب (net.),ترجیحاً آقا,Khoozestan,Full Time,True,8.0,10.0,توسعه نرم افزار و برنامه نویسی,Engineering Services / Technical Services & Solutions,2,True,False,False,True,Khoozestan,Ahvaz,Privately held,1001 - 5000 employees,Iranian company dealing with Iranian and foreign customers,"IT / Software / Hardware,Manufacturing & Production,Engineering Services / Technical Services & Solutions",9.0
2965,برنامه نویس Python,تفاوتی ندارد,Yazd,Full Time,True,8.0,10.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,2,False,True,False,,Yazd,Yazd,Privately held,11 - 50 employees,Iranian company dealing with Iranian and foreign customers,IT / Software / Hardware,9.0
3071,مهندس Devops,تفاوتی ندارد,Tehran,Full Time,True,10.0,12.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,2,True,False,False,,Tehran,Tehran,Privately held,51 - 200 employees,Iranian company dealing only with Iranian entities,"IT / Software / Hardware,Internet Provider / E-commerce / Online Services",11.0
3089,مسئول فنی تیم توسعه نرم افزار و پلتفرم,تفاوتی ندارد,Tehran,Full Time,True,12.0,15.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,3,False,False,False,,Tehran,Tehran,Privately held,11 - 50 employees,Iranian company dealing with Iranian and foreign customers,"IT / Software / Hardware,Internet Provider / E-commerce / Online Services,Telecom",13.5
3105,کارشناس Microsoft Dynamics crm365 - خانم,فقط خانم,Tehran,Full Time,True,8.0,10.0,توسعه نرم افزار و برنامه نویسی,Manufacturing & Production,2,False,False,False,,Tehran,Tehran,Privately held,11 - 50 employees,Iranian company dealing with Iranian and foreign customers,"Manufacturing & Production,Retail / Shopping center / Store",9.0
3127,برنامه نویس Full-Stack,تفاوتی ندارد,Hamedan,Full Time,True,6.0,8.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,1,False,False,False,,Tehran,Tehran,Privately held,11 - 50 employees,Iranian company dealing only with Iranian entities,"IT / Software / Hardware,Engineering Services / Technical Services & Solutions",7.0
3213,کارآموز برنامه نویسی Full Stack - خانم,فقط خانم,Tehran,Full Time,True,5.0,6.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,0,False,False,True,,Tehran,Tehran,Privately held,11 - 50 employees,Iranian company dealing only with Iranian entities,IT / Software / Hardware,5.5
3253,کارآموز برنامه نویسی وب,تفاوتی ندارد,Tehran,Full Time,True,5.0,6.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,0,False,False,True,,Tehran,Tehran,Privately held,11 - 50 employees,Iranian company dealing only with Iranian entities,IT / Software / Hardware,5.5
3352,برنامه نویس flutter,ترجیحاً آقا,Azarbayjan Sharghi,Part Time,True,10.0,12.0,توسعه نرم افزار و برنامه نویسی,Education / Research,5,False,True,False,,Azarbayjan Sharghi,Tabriz,,501 - 1000 employees,,Education / Research,11.0
3381,برنامه نویس (Front-End (React,تفاوتی ندارد,Tehran,Full Time,True,10.0,12.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,2,False,False,False,,Tehran,Tehran,Privately held,51 - 200 employees,Iranian company dealing with Iranian and foreign customers,IT / Software / Hardware,11.0
3428,.Net Backend Developer,تفاوتی ندارد,Tehran,Full Time,True,15.0,20.0,توسعه نرم افزار و برنامه نویسی,Internet Provider / E-commerce / Online Services,3,True,True,False,,Tehran,Tehran,Privately held,Less than 10 employees,Iranian company dealing with Iranian and foreign customers,Internet Provider / E-commerce / Online Services,17.5
3429,React.JS/React Native Developer,تفاوتی ندارد,Tehran,Full Time,True,20.0,25.0,توسعه نرم افزار و برنامه نویسی,Internet Provider / E-commerce / Online Services,5,True,True,False,,Tehran,Tehran,Privately held,Less than 10 employees,Iranian company dealing with Iranian and foreign customers,Internet Provider / E-commerce / Online Services,22.5
3443,طراح سایت (Wordpress),تفاوتی ندارد,Isfahan,Full Time,True,6.0,8.0,توسعه نرم افزار و برنامه نویسی,Internet Provider / E-commerce / Online Services,2,False,False,False,True,Isfahan,Isfahan,Privately held,11 - 50 employees,Iranian company dealing only with Iranian entities,"IT / Software / Hardware,Internet Provider / E-commerce / Online Services,Telecom",7.0
3635,کارآموز برنامه نویس,تفاوتی ندارد,Tehran,Full Time Or Part Time,True,5.0,6.0,توسعه نرم افزار و برنامه نویسی,Automotive,0,False,False,True,True,Tehran,Tehran,Privately held,11 - 50 employees,Iranian company dealing only with Iranian entities,Automotive,5.5
3637,برنامه نویس PHP,تفاوتی ندارد,Isfahan,Full Time,True,6.0,8.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,2,False,False,False,True,Isfahan,Isfahan,Privately held,Less than 10 employees,Iranian company dealing only with Iranian entities,IT / Software / Hardware,7.0
3738,کارشناس IT - آقا,فقط آقا,Khorasan Razavi,Full Time,True,8.0,10.0,توسعه نرم افزار و برنامه نویسی,Automotive,2,False,False,False,,Khorasan Razavi,Binalood,Privately held,1001 - 5000 employees,Iranian company dealing with Iranian and foreign customers,Automotive,9.0
3900,کارشناس طراحی سایت وردپرس,تفاوتی ندارد,Tehran,Full Time,True,6.0,8.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,1,False,False,False,True,Tehran,Tehran,Privately held,11 - 50 employees,Iranian company dealing only with Iranian entities,IT / Software / Hardware,7.0
4032,برنامه نویس golang developer,تفاوتی ندارد,Tehran,Full Time,True,15.0,20.0,توسعه نرم افزار و برنامه نویسی,Healthcare / Medical Services,3,False,False,False,,Tehran,Tehran,Privately held,201 - 500 employees,Iranian company dealing with Iranian and foreign customers,Healthcare / Medical Services,17.5
4141,برنامه نویس ارشد Front-end,تفاوتی ندارد,Tehran,Full Time,True,12.0,15.0,توسعه نرم افزار و برنامه نویسی,Trading / International Affairs,7,False,False,False,,Tehran,Tehran,Privately held,11 - 50 employees,Iranian company dealing only with Iranian entities,Trading / International Affairs,13.5
4294,توسعه دهندهFront-End (Angular),تفاوتی ندارد,Isfahan,Full Time,True,10.0,12.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,2,False,False,False,,Isfahan,Isfahan,Privately held,51 - 200 employees,Iranian company dealing with Iranian and foreign customers,IT / Software / Hardware,11.0
4326,توسعه دهنده ارشد موبایل,تفاوتی ندارد,Isfahan,Full Time,True,12.0,15.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,2,False,False,False,,Isfahan,Isfahan,Privately held,51 - 200 employees,Iranian company dealing with Iranian and foreign customers,IT / Software / Hardware,13.5
4329,کارشناس ارشد توسعه نرم افزار,تفاوتی ندارد,Isfahan,Full Time,True,12.0,15.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,2,False,False,False,,Isfahan,Isfahan,Privately held,51 - 200 employees,Iranian company dealing with Iranian and foreign customers,IT / Software / Hardware,13.5
4346,کارشناس توسعه سیستم های اطلاعاتی,ترجیحاً آقا,Alborz,Full Time,True,12.0,15.0,توسعه نرم افزار و برنامه نویسی,Energy / Power Plant,3,False,False,False,,Alborz,Karaj,Privately held,1001 - 5000 employees,Iranian company dealing with Iranian and foreign customers,"Oil & Gas / Petrochemical,Energy / Power Plant",13.5
4369,برنامه نویس Back-End (Django),تفاوتی ندارد,Isfahan,Full Time,True,15.0,20.0,توسعه نرم افزار و برنامه نویسی,Internet Provider / E-commerce / Online Services,2,False,True,False,,Isfahan,Isfahan,Privately held,51 - 200 employees,Iranian company dealing with Iranian and foreign customers,"Automotive,Internet Provider / E-commerce / Online Services,Transportation / Logistics",17.5
4380,(Front-End Developer (React,تفاوتی ندارد,Tehran,Full Time,True,12.0,15.0,توسعه نرم افزار و برنامه نویسی,Finance / Investment,2,False,False,False,True,Tehran,Tehran,Privately held,51 - 200 employees,Iranian company dealing only with Iranian entities,Finance / Investment,13.5
4574,برنامه نویس Node.js,تفاوتی ندارد,Isfahan,Full Time,True,6.0,8.0,توسعه نرم افزار و برنامه نویسی,Engineering Services / Technical Services & Solutions,1,False,False,False,,Isfahan,Isfahan,Privately held,11 - 50 employees,Iranian company dealing with Iranian and foreign customers,Engineering Services / Technical Services & Solutions,7.0
4641,برنامه نویس PHP,تفاوتی ندارد,Tehran,Full Time,True,8.0,10.0,توسعه نرم افزار و برنامه نویسی,Manufacturing & Production,3,True,False,False,,Tehran,Tehran,Privately held,51 - 200 employees,Iranian company dealing only with Iranian entities,Manufacturing & Production,9.0
4675,کارشناس وردپرس,تفاوتی ندارد,Tehran,Full Time Or Part Time,True,6.0,8.0,توسعه نرم افزار و برنامه نویسی,Trading / International Affairs,2,False,False,False,,Tehran,Tehran,Privately held,11 - 50 employees,Iranian company dealing with Iranian and foreign customers,Trading / International Affairs,7.0
4810,React Native Developer,تفاوتی ندارد,Tehran,Full Time,True,12.0,15.0,توسعه نرم افزار و برنامه نویسی,Healthcare / Medical Services,1,False,False,False,,Tehran,Tehran,Privately held,201 - 500 employees,Iranian company dealing with Iranian and foreign customers,Healthcare / Medical Services,13.5
4833,(Senior Back-End Developer(Node.js,تفاوتی ندارد,Tehran,Full Time,True,12.0,15.0,توسعه نرم افزار و برنامه نویسی,Healthcare / Medical Services,1,False,False,False,,Tehran,Tehran,Privately held,201 - 500 employees,Iranian company dealing with Iranian and foreign customers,Healthcare / Medical Services,13.5
4903,برنامه نویس ASP.Net,تفاوتی ندارد,Tehran,Full Time Or Part Time,True,8.0,10.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,1,False,False,False,,Isfahan,Isfahan,Privately held,51 - 200 employees,Iranian company dealing only with Iranian entities,IT / Software / Hardware,9.0
4936,Senior Front-End Deveoper (React),تفاوتی ندارد,Tehran,Full Time,True,12.0,15.0,توسعه نرم افزار و برنامه نویسی,Internet Provider / E-commerce / Online Services,3,True,False,False,,Tehran,Tehran,,201 - 500 employees,,"Internet Provider / E-commerce / Online Services,Retail / Shopping center / Store",13.5
5424,Full Stack Developer,تفاوتی ندارد,Tehran,Full Time,True,12.0,15.0,توسعه نرم افزار و برنامه نویسی,Internet Provider / E-commerce / Online Services,3,False,False,False,,Tehran,Tehran,Privately held,51 - 200 employees,Iranian company dealing only with Iranian entities,"Internet Provider / E-commerce / Online Services,Trading / International Affairs,Construction / Building Materials & Equipment",13.5
5445,Back-End developer (PHP/Laravel),تفاوتی ندارد,Tehran,Full Time,True,12.0,15.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,3,False,False,False,,Tehran,Tehran,Privately held,11 - 50 employees,Iranian company dealing with Iranian and foreign customers,"IT / Software / Hardware,Internet Provider / E-commerce / Online Services",13.5
5454,"Front - End developer (react , react-native)",تفاوتی ندارد,Tehran,Full Time,True,12.0,15.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,3,False,False,False,,Tehran,Tehran,Privately held,11 - 50 employees,Iranian company dealing with Iranian and foreign customers,"IT / Software / Hardware,Internet Provider / E-commerce / Online Services",13.5
5660,برنامه نویس Flutter,تفاوتی ندارد,Tehran,Full Time,True,12.0,15.0,توسعه نرم افزار و برنامه نویسی,IT / Software / Hardware,2,False,True,False,,Tehran,Tehran,Privately held,11 - 50 employees,Iranian company dealing only with Iranian entities,IT / Software / Hardware,13.5
